"","fromMARISK","toKWG"
"mariskIndex","AT 1 1","KWG § 25a (1)"
"mariskIndex1","AT 1 1","KWG § 25a (3)"
"1","AT 1 1","KWG § 25b "
"2","AT 1 1","KWG § 25b (1)"
"3","AT 1 1","KWG § 25b (2)"
"4","AT 1 1","KWG § 25b (3)"
"5","AT 1 1","KWG § 25b (4)"
"6","AT 1 1","KWG § 25b (4a)"
"7","AT 1 1","KWG § 25b (5)"
"110","AT 1 1","KWG § 53 "
"210","AT 1 1","KWG § 53 (1)"
"310","AT 1 1","KWG § 53 (2)"
"410","AT 1 1","KWG § 53 (2a)"
"510","AT 1 1","KWG § 53 (3)"
"610","AT 1 1","KWG § 53 (4)"
"77","AT 1 1","KWG § 53 (5)"
"8","AT 1 1","KWG § 53 (6)"
"9","AT 1 1","KWG § 53a "
"10","AT 1 1","KWG § 53b "
"11","AT 1 1","KWG § 53b (1)"
"12","AT 1 1","KWG § 53b (1a)"
"13","AT 1 1","KWG § 53b (2)"
"14","AT 1 1","KWG § 53b (2a)"
"15","AT 1 1","KWG § 53b (3)"
"16","AT 1 1","KWG § 53b (4)"
"17","AT 1 1","KWG § 53b (5)"
"18","AT 1 1","KWG § 53b (6)"
"19","AT 1 1","KWG § 53b (7)"
"20","AT 1 1","KWG § 53b (7a)"
"21","AT 1 1","KWG § 53b (8)"
"22","AT 1 1","KWG § 53b (9)"
"23","AT 1 1","KWG § 53b (10)"
"24","AT 1 1","KWG § 53b (11)"
"25","AT 1 1","KWG § 53b (12)"
"26","AT 1 1","KWG § 53c "
"27","AT 1 1","KWG § 53c (1)"
"28","AT 1 1","KWG § 53c (2)"
"29","AT 1 1","KWG § 53d "
"30","AT 1 1","KWG § 53d (1)"
"31","AT 1 1","KWG § 53d (2)"
"32","AT 1 1","KWG § 53d (3)"
"33","AT 1 1","KWG § 53d (4)"
"34","AT 1 1","KWG § 53e "
"35","AT 1 1","KWG § 53f "
"36","AT 1 1","KWG § 53f (1)"
"37","AT 1 1","KWG § 53f (2)"
"38","AT 1 1","KWG § 53g "
"39","AT 1 1","KWG § 53h "
"40","AT 1 1","KWG § 53i "
"41","AT 1 1","KWG § 53j "
"42","AT 1 1","KWG § 53j (1)"
"43","AT 1 1","KWG § 53j (2)"
"44","AT 1 1","KWG § 53j (3)"
"45","AT 1 1","KWG § 53k "
"46","AT 1 1","KWG § 53l "
"47","AT 1 1","KWG § 53l (1)"
"48","AT 1 1","KWG § 53l (2)"
"49","AT 1 1","KWG § 53m "
"50","AT 1 1","KWG § 53m (1)"
"51","AT 1 1","KWG § 53m (2)"
"52","AT 1 1","KWG § 53n "
"53","AT 1 1","KWG § 53n (1)"
"54","AT 1 1","KWG § 53n (2)"
"55","AT 1 1","KWG § 53n (3)"
"56","AT 1 1","KWG § 53n (4)"
"57","AT 1 1","KWG § 53n (5)"
"58","AT 1 1","KWG § 53o "
"59","AT 1 1","KWG § 53o (1)"
"60","AT 1 1","KWG § 53o (2)"
"61","AT 1 1","KWG § 53o (3)"
"62","AT 1 1","KWG § 53p "
"63","AT 1 1","KWG § 53q "
"64","AT 1 1","KWG § 53q (1)"
"65","AT 1 1","KWG § 53q (2)"
"66","AT 1 1","KWG § 53r "
"67","AT 1 1","KWG § 53s "
"68","AT 1 1","KWG § 53s (1)"
"69","AT 1 1","KWG § 53s (2)"
"70","AT 1 1","KWG § 53t "
"71","AT 1 1","KWG § 53u "
"72","AT 1 1","KWG § 53u (1)"
"73","AT 1 1","KWG § 53u (2)"
"74","AT 1 1","KWG § 53v "
"75","AT 1 1","KWG § 53v (1)"
"76","AT 1 1","KWG § 53v (2)"
"mariskIndex2","AT 1 4","KWG § 25a (1)"
"mariskIndex3","AT 2.1 1","KWG § 1 (1b)"
"mariskIndex4","AT 2.1 1","KWG § 53 (1)"
"111","AT 2.1 1","KWG § 53b "
"211","AT 2.1 1","KWG § 53b (1)"
"311","AT 2.1 1","KWG § 53b (1a)"
"411","AT 2.1 1","KWG § 53b (2)"
"511","AT 2.1 1","KWG § 53b (2a)"
"611","AT 2.1 1","KWG § 53b (3)"
"78","AT 2.1 1","KWG § 53b (4)"
"81","AT 2.1 1","KWG § 53b (5)"
"91","AT 2.1 1","KWG § 53b (6)"
"101","AT 2.1 1","KWG § 53b (7)"
"112","AT 2.1 1","KWG § 53b (7a)"
"121","AT 2.1 1","KWG § 53b (8)"
"131","AT 2.1 1","KWG § 53b (9)"
"141","AT 2.1 1","KWG § 53b (10)"
"151","AT 2.1 1","KWG § 53b (11)"
"161","AT 2.1 1","KWG § 53b (12)"
"113","AT 2.1 2","KWG § 25a "
"212","AT 2.1 2","KWG § 25a (1)"
"312","AT 2.1 2","KWG § 25a (2)"
"412","AT 2.1 2","KWG § 25a (3)"
"512","AT 2.1 2","KWG § 25a (4)"
"612","AT 2.1 2","KWG § 25a (5)"
"79","AT 2.1 2","KWG § 25a (5a)"
"82","AT 2.1 2","KWG § 25a (5b)"
"92","AT 2.1 2","KWG § 25a (5c)"
"102","AT 2.1 2","KWG § 25a (6)"
"114","AT 2.1 2","KWG § 25b "
"213","AT 2.1 2","KWG § 25b (1)"
"313","AT 2.1 2","KWG § 25b (2)"
"413","AT 2.1 2","KWG § 25b (3)"
"513","AT 2.1 2","KWG § 25b (4)"
"613","AT 2.1 2","KWG § 25b (4a)"
"710","AT 2.1 2","KWG § 25b (5)"
"mariskIndex5","AT 2.3 1","KWG § 19 (1)"
"mariskIndex6","AT 2.3 3","KWG § 1 (11)"
"mariskIndex7","AT 3 1","KWG § 1 (2)"
"mariskIndex8","AT 3 1","KWG § 25a (3)"
"115","AT 4.4.2 1","KWG § 25h "
"214","AT 4.4.2 1","KWG § 25h (1)"
"314","AT 4.4.2 1","KWG § 25h (2)"
"414","AT 4.4.2 1","KWG § 25h (3)"
"514","AT 4.4.2 1","KWG § 25h (4)"
"614","AT 4.4.2 1","KWG § 25h (5)"
"711","AT 4.4.2 1","KWG § 25h (6)"
"83","AT 4.4.2 1","KWG § 25h (7)"
"mariskIndex9","AT 4.5 1","KWG § 25a (3)"
"116","AT 9 1","KWG § 25b "
"215","AT 9 1","KWG § 25b (1)"
"315","AT 9 1","KWG § 25b (2)"
"415","AT 9 1","KWG § 25b (3)"
"515","AT 9 1","KWG § 25b (4)"
"615","AT 9 1","KWG § 25b (4a)"
"712","AT 9 1","KWG § 25b (5)"
"mariskIndex10","AT 9 1","KWG § 25a (1)"
"mariskIndex11","AT 9 3","KWG § 25a (1)"
"mariskIndex12","AT 9 4","KWG § 25a (1)"
"117","AT 9 4","KWG § 13 "
"216","AT 9 4","KWG § 13 (1)"
"316","AT 9 4","KWG § 13 (2)"
"416","AT 9 4","KWG § 13 (3)"
"516","AT 9 4","KWG § 13 (4)"
"616","AT 9 4","KWG § 13c "
"713","AT 9 4","KWG § 13c (1)"
"84","AT 9 4","KWG § 13c (2)"
"93","AT 9 4","KWG § 13c (3)"
"103","AT 9 4","KWG § 13c (4)"
"118","AT 9 4","KWG § 13d "
"mariskIndex13","AT 9 7","KWG § 25b (3)"
