"","fromMARISK","toWPHG"
"mariskIndex","AT 1 4","WpHG § 80 (1)"
"mariskIndex1","AT 2.1 2","WpHG § 2 (18)"
"1","AT 2.1 2","WpHG § 4 "
"2","AT 2.1 2","WpHG § 4 (1)"
"3","AT 2.1 2","WpHG § 4 (2)"
"4","AT 2.1 2","WpHG § 4 (3)"
"5","AT 2.1 2","WpHG § 4 (4)"
"6","AT 2.1 2","WpHG § 40 "
"7","AT 2.1 2","WpHG § 40 (1)"
"8","AT 2.1 2","WpHG § 40 (2)"
"9","AT 2.1 2","WpHG § 40 (3)"
"10","AT 2.1 2","WpHG § 41 "
"11","AT 2.1 2","WpHG § 41 (1)"
"12","AT 2.1 2","WpHG § 41 (2)"
"13","AT 2.1 2","WpHG § 42 "
"14","AT 2.1 2","WpHG § 43 "
"15","AT 2.1 2","WpHG § 43 (1)"
"16","AT 2.1 2","WpHG § 43 (2)"
"17","AT 2.1 2","WpHG § 43 (3)"
"18","AT 2.1 2","WpHG § 43 (4)"
"19","AT 2.1 2","WpHG § 44 "
"20","AT 2.1 2","WpHG § 44 (1)"
"21","AT 2.1 2","WpHG § 44 (2)"
"22","AT 2.1 2","WpHG § 45 "
"23","AT 2.1 2","WpHG § 46 "
"24","AT 2.1 2","WpHG § 46 (1)"
"25","AT 2.1 2","WpHG § 46 (2)"
"26","AT 2.1 2","WpHG § 46 (3)"
"27","AT 2.1 2","WpHG § 47 "
"28","AT 2.1 2","WpHG § 47 (1)"
"29","AT 2.1 2","WpHG § 47 (2)"
"30","AT 2.1 2","WpHG § 48 "
"31","AT 2.1 2","WpHG § 48 (1)"
"32","AT 2.1 2","WpHG § 48 (2)"
"33","AT 2.1 2","WpHG § 48 (3)"
"34","AT 2.1 2","WpHG § 49 "
"35","AT 2.1 2","WpHG § 49 (1)"
"36","AT 2.1 2","WpHG § 49 (2)"
"37","AT 2.1 2","WpHG § 49 (3)"
"mariskIndex2","AT 4.4.2 1","WpHG § 80 (1)"
